Cluster_ID,N_States,N_Observations,P(-1),P(0),P(+1),Direction,Entropy,Gini,Classification_Error,Confidence
25,1,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0986122886681067,0.6666666666666667,0.6666666666666667,0.3333333333333333
26,1,17,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.0,1.0950778621204975,0.6643598615916955,0.6470588235294117,0.35294117647058826
27,6,144,0.3263888888888889,0.3402777777777778,0.3333333333333333,0.00694444444444442,1.0984676022748017,0.6665702160493827,0.6597222222222222,0.3402777777777778
28,1,25,0.32,0.32,0.36,0.03999999999999998,1.0970323903520638,0.6656,0.64,0.36
29,2,43,0.3023255813953488,0.3488372093023256,0.3488372093023256,0.04651162790697677,1.096412960343181,0.6652244456462952,0.6511627906976745,0.3488372093023256
30,10,209,0.2679425837320574,0.3923444976076555,0.3397129186602871,0.07177033492822965,1.0867316480089682,0.6588676999152949,0.6076555023923444,0.3923444976076555
31,8,162,0.30864197530864196,0.30864197530864196,0.38271604938271603,0.07407407407407407,1.0932467524199718,0.6630086877000458,0.617283950617284,0.38271604938271603
32,19,426,0.21830985915492956,0.4835680751173709,0.2981220657276995,0.07981220657276994,1.044378304921603,0.6296259560492847,0.5164319248826291,0.4835680751173709
33,2,34,0.35294117647058826,0.20588235294117646,0.4411764705882353,0.08823529411764702,1.0539780582227363,0.6384083044982699,0.5588235294117647,0.4411764705882353
34,1,17,0.23529411764705882,0.4117647058823529,0.35294117647058826,0.11764705882352944,1.073383620336502,0.6505190311418685,0.5882352941176471,0.4117647058823529
35,1,51,0.2549019607843137,0.37254901960784315,0.37254901960784315,0.11764705882352944,1.0841193022277598,0.657439446366782,0.6274509803921569,0.37254901960784315
36,3,57,0.2982456140350877,0.2807017543859649,0.42105263157894735,0.12280701754385964,1.0816593672530934,0.6549707602339182,0.5789473684210527,0.42105263157894735
37,2,40,0.25,0.375,0.375,0.125,1.0821955300387642,0.65625,0.625,0.375
38,4,70,0.2714285714285714,0.3142857142857143,0.4142857142857143,0.1428571428571429,1.0827973327971692,0.6559183673469388,0.5857142857142856,0.4142857142857143
39,3,89,0.29213483146067415,0.2696629213483146,0.43820224719101125,0.1460674157303371,1.0744486605639858,0.6499179396540841,0.5617977528089888,0.43820224719101125
40,3,49,0.20408163265306123,0.42857142857142855,0.3673469387755102,0.163265306122449,1.055340425370556,0.6397334443981675,0.5714285714285714,0.42857142857142855
41,16,327,0.2415902140672783,0.29357798165137616,0.4648318042813456,0.22324159021406728,1.0590927522598161,0.6393775308849797,0.5351681957186545,0.4648318042813456
42,10,154,0.12337662337662338,0.5064935064935064,0.37012987012987014,0.24675324675324678,0.9705788923323282,0.5912464159217407,0.49350649350649356,0.5064935064935064
43,4,84,0.13095238095238096,0.39285714285714285,0.47619047619047616,0.34523809523809523,0.9865694691560085,0.6017573696145125,0.5238095238095238,0.47619047619047616
44,4,52,0.038461538461538464,0.5192307692307693,0.4423076923076923,0.40384615384615385,0.8264310895505163,0.533284023668639,0.4807692307692307,0.5192307692307693
45,5,105,0.13333333333333333,0.2857142857142857,0.580952380952381,0.4476190476190477,0.942093399880851,0.5630839002267574,0.419047619047619,0.580952380952381
