Cluster,State,State_Count,P(-1),P(0),P(+1),Direction,Entropy,Gini,Classification_Error
1,"(np.int64(0), np.int64(-1), np.int64(-1), np.int64(0), np.int64(-1))",23,0.3036357915212541,0.46422850277475824,0.23213570570398764,-0.07150008581726644,1.0571690970755538,0.6384102174560795,0.5357714972252418
1,"(np.int64(0), np.int64(-1), np.int64(-1), np.int64(0), np.int64(0))",21,0.25006931394596593,0.30763069529589354,0.4422999907581405,0.1922306768121746,1.0700661174909658,0.6471994117097079,0.5577000092418595
1,"(np.int64(0), np.int64(-1), np.int64(-1), np.int64(0), np.int64(1))",27,0.2031813175810973,0.4999499399279135,0.29686874249098916,0.09368742490989185,1.0309269295060068,0.6206363594839037,0.5000500600720865
1,"(np.int64(0), np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1))",13,0.3612112312552841,0.333244337649624,0.3055444310950919,-0.05566680016019221,1.0962857793953635,0.6651172584662817,0.6387887687447159
1,"(np.int64(0), np.int64(-1), np.int64(-1), np.int64(1), np.int64(0))",19,0.2292417567747964,0.4582665865705513,0.31249165665465223,0.08324989987985582,1.058738701045389,0.6397889171050114,0.5417334134294487
1,"(np.int64(0), np.int64(-1), np.int64(-1), np.int64(1), np.int64(1))",25,0.28339340541983715,0.5666132692564411,0.1499933253237218,-0.13340008009611534,0.9637788890696017,0.5761395832254078,0.43338673074355893
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1))",27,0.2969313175810973,0.3436999399279135,0.35936874249098916,0.06243742490989185,1.0953972096973397,0.6645562508535473,0.6406312575090108
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(-1), np.int64(0))",24,0.2931655918136246,0.2413240716445942,0.46551033654178114,0.17234474472815653,1.058728142075555,0.6391167547941996,0.5344896634582188
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(-1), np.int64(1))",30,0.24290863321700326,0.4856685165055209,0.2714228502774758,0.028514217060472552,1.0484529485101863,0.6314511243312249,0.5143314834944791
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(0), np.int64(-1))",25,0.25006007208650377,0.4332799359231077,0.3166599919903884,0.06659991990388464,1.073115440359173,0.6494649069472074,0.5667200640768923
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(0), np.int64(0))",35,0.3875450540648778,0.3999599519423308,0.21249499399279131,-0.1750500600720865,1.0630026555165477,0.644686745440143,0.6000400480576692
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(0), np.int64(1))",27,0.2969313175810973,0.4374499399279135,0.26561874249098916,-0.03131257509010815,1.0743597009988182,0.649916026334124,0.5625500600720865
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(1), np.int64(-1))",27,0.2969313175810973,0.3436999399279135,0.35936874249098916,0.06243742490989185,1.0953972096973397,0.6645562508535473,0.6406312575090108
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(1), np.int64(0))",34,0.29491800416910546,0.28201020712033925,0.42307178871055523,0.12815378454144977,1.0810158930423515,0.6545038754941062,0.5769282112894447
1,"(np.int64(0), np.int64(-1), np.int64(0), np.int64(1), np.int64(1))",21,0.21160777548442747,0.46147684914204734,0.3269153753735251,0.11530759988909764,1.0510111465837375,0.6353876044048474,0.5385231508579527
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1))",13,0.250100120144173,0.5554665598718462,0.19443331998398078,-0.05566680016019221,0.9916139092289118,0.5911025148480138,0.44453344012815377
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(-1), np.int64(0))",26,0.2742516826643585,0.41930316379655586,0.3064451535390856,0.03219347087472707,1.0816816072720403,0.6550622392583729,0.5806968362034441
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(-1), np.int64(1))",19,0.2709084234414631,0.2915999199038847,0.43749165665465223,0.16658323321318913,1.0748325352052126,0.6501791631780769,0.5625083433453477
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(0), np.int64(-1))",19,0.14590842344146307,0.4165999199038846,0.43749165665465223,0.29158323321318913,1.0073013139277647,0.6137562890624715,0.5625083433453477
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(0), np.int64(0))",28,0.2879333988665186,0.27267872962706763,0.43938787150641373,0.15145447263989514,1.0741605628948652,0.6496789665992061,0.5606121284935863
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(0), np.int64(1))",19,0.2709084234414631,0.33326658657055136,0.39582498998798554,0.12491656654652245,1.0868408982174462,0.6588645856850852,0.6041750100120145
1,"(np.int64(0), np.int64(-1), np.int64(1), np.int64(1), np.int64(-1))",18,0.3696435722867441,0.4347129598997057,0.19564346781355016,-0.17400010447319395,1.0492060012843483,0.6361119054642198,0.5652870401002943
